participant,ibex_ident,list,bloque,presentation,item_number,condition,rating,rt,grammaticality,control,distractor,zscore,binary_accuracy
4,24,l1,b1,15,55,E,7,16813,grammatical,object,match,0.974264941825758,1
4,26,l1,b1,17,11,B,7,5198,grammatical,subject,mismatch,0.974264941825758,1
4,28,l1,b1,19,54,H,1,5571,ungrammatical,object,mismatch,-1.01572302445664,1
4,30,l1,b1,21,26,C,7,7970,ungrammatical,subject,match,0.974264941825758,0
4,32,l1,b1,23,34,D,1,3713,ungrammatical,subject,mismatch,-1.01572302445664,1
4,34,l1,b1,25,39,B,7,8252,grammatical,subject,mismatch,0.974264941825758,1
4,36,l1,b1,27,89,F,7,6224,grammatical,object,mismatch,0.974264941825758,1
4,38,l1,b1,29,74,H,1,6497,ungrammatical,object,mismatch,-1.01572302445664,1
4,40,l1,b1,31,13,D,1,3852,ungrammatical,subject,mismatch,-1.01572302445664,1
4,43,l1,b1,34,76,G,7,5937,ungrammatical,object,match,0.974264941825758,0
4,45,l1,b1,36,24,A,7,10033,grammatical,subject,match,0.974264941825758,1
4,47,l1,b1,38,17,C,1,3042,ungrammatical,subject,match,-1.01572302445664,1
4,49,l1,b1,40,71,F,7,6555,grammatical,object,mismatch,0.974264941825758,1
4,51,l1,b1,42,58,G,1,4867,ungrammatical,object,match,-1.01572302445664,1
4,53,l1,b1,44,85,E,7,9348,grammatical,object,match,0.974264941825758,1
4,54,l1,b1,45,19,B,7,6438,grammatical,subject,mismatch,0.974264941825758,1
4,56,l1,b1,47,92,E,7,5123,grammatical,object,match,0.974264941825758,1
4,59,l1,b2,50,14,D,1,6913,ungrammatical,subject,mismatch,-1.01572302445664,1
4,61,l1,b2,52,22,A,7,3967,grammatical,subject,match,0.974264941825758,1
4,62,l1,b2,53,94,H,1,6870,ungrammatical,object,mismatch,-1.01572302445664,1
4,64,l1,b2,55,80,F,7,18967,grammatical,object,mismatch,0.974264941825758,1
4,66,l1,b2,57,64,H,1,4891,ungrammatical,object,mismatch,-1.01572302445664,1
4,68,l1,b2,59,91,F,7,5866,grammatical,object,mismatch,0.974264941825758,1
4,70,l1,b2,61,20,B,7,5854,grammatical,subject,mismatch,0.974264941825758,1
4,72,l1,b2,63,7,C,1,6185,ungrammatical,subject,match,-1.01572302445664,1
4,74,l1,b2,65,5,D,1,39828,ungrammatical,subject,mismatch,-1.01572302445664,1
4,76,l1,b2,67,27,C,1,5293,ungrammatical,subject,match,-1.01572302445664,1
4,78,l1,b2,69,69,E,7,5893,grammatical,object,match,0.974264941825758,1
4,80,l1,b2,71,51,G,1,3285,ungrammatical,object,match,-1.01572302445664,1
4,82,l1,b2,73,12,B,7,8097,grammatical,subject,mismatch,0.974264941825758,1
4,84,l1,b2,75,59,G,1,4519,ungrammatical,object,match,-1.01572302445664,1
4,86,l1,b2,77,62,E,7,5244,grammatical,object,match,0.974264941825758,1
4,89,l1,b2,80,73,F,7,4741,grammatical,object,mismatch,0.974264941825758,1
4,90,l1,b2,81,1,A,7,4232,grammatical,subject,match,0.974264941825758,1
4,92,l1,b2,83,77,G,7,4839,ungrammatical,object,match,0.974264941825758,0
4,94,l1,b2,85,84,H,1,4013,ungrammatical,object,mismatch,-1.01572302445664,1
4,96,l1,b2,87,33,A,7,4479,grammatical,subject,match,0.974264941825758,1
4,98,l1,b2,89,4,D,1,3834,ungrammatical,subject,mismatch,-1.01572302445664,1
4,100,l1,b2,91,47,C,1,4819,ungrammatical,subject,match,-1.01572302445664,1
4,103,l1,b2,94,30,B,7,10958,grammatical,subject,mismatch,0.974264941825758,1
4,104,l1,b2,95,90,E,7,2950,grammatical,object,match,0.974264941825758,1
4,106,l1,b3,97,43,D,1,7401,ungrammatical,subject,mismatch,-1.01572302445664,1
4,108,l1,b3,99,65,H,1,8856,ungrammatical,object,mismatch,-1.01572302445664,1
4,109,l1,b3,100,2,A,7,3828,grammatical,subject,match,0.974264941825758,1
4,112,l1,b3,103,61,G,1,6788,ungrammatical,object,match,-1.01572302445664,1
4,114,l1,b3,105,21,B,7,8464,grammatical,subject,mismatch,0.974264941825758,1
4,116,l1,b3,107,8,C,1,5177,ungrammatical,subject,match,-1.01572302445664,1
4,118,l1,b3,109,78,F,7,8439,grammatical,object,mismatch,0.974264941825758,1
4,120,l1,b3,111,35,D,1,9232,ungrammatical,subject,mismatch,-1.01572302445664,1
4,122,l1,b3,113,10,B,7,101776,grammatical,subject,mismatch,0.974264941825758,1
4,124,l1,b3,115,87,H,1,4533,ungrammatical,object,mismatch,-1.01572302445664,1
4,126,l1,b3,117,79,G,1,6396,ungrammatical,object,match,-1.01572302445664,1
4,128,l1,b3,119,18,C,1,3618,ungrammatical,subject,match,-1.01572302445664,1
4,130,l1,b3,121,40,A,7,6349,grammatical,subject,match,0.974264941825758,1
4,131,l1,b3,122,57,F,7,3489,grammatical,object,mismatch,0.974264941825758,1
4,134,l1,b3,125,52,E,7,12288,grammatical,object,match,0.974264941825758,1
4,136,l1,b3,127,37,B,7,5741,grammatical,subject,mismatch,0.974264941825758,1
4,138,l1,b3,129,95,H,1,5513,ungrammatical,object,mismatch,-1.01572302445664,1
4,140,l1,b3,131,41,A,7,3109,grammatical,subject,match,0.974264941825758,1
4,142,l1,b3,133,50,F,1,9328,grammatical,object,mismatch,-1.01572302445664,0
4,144,l1,b3,135,68,G,1,5371,ungrammatical,object,match,-1.01572302445664,1
4,146,l1,b3,137,48,C,1,6445,ungrammatical,subject,match,-1.01572302445664,1
4,149,l1,b3,140,72,E,7,5266,grammatical,object,match,0.974264941825758,1
4,150,l1,b3,141,15,D,1,7868,ungrammatical,subject,mismatch,-1.01572302445664,1
4,152,l1,b3,143,82,E,7,4049,grammatical,object,match,0.974264941825758,1
4,154,l1,b4,145,83,E,1,4063,grammatical,object,match,-1.01572302445664,0
4,157,l1,b4,148,23,A,7,5692,grammatical,subject,match,0.974264941825758,1
4,159,l1,b4,150,28,B,7,5984,grammatical,subject,mismatch,0.974264941825758,1
4,161,l1,b4,152,49,H,1,14491,ungrammatical,object,mismatch,-1.01572302445664,1
4,163,l1,b4,154,9,C,1,5485,ungrammatical,subject,match,-1.01572302445664,1
4,165,l1,b4,156,93,G,1,5965,ungrammatical,object,match,-1.01572302445664,1
4,167,l1,b4,158,29,B,7,6418,grammatical,subject,mismatch,0.974264941825758,1
4,169,l1,b4,160,66,G,1,8703,ungrammatical,object,match,-1.01572302445664,1
4,171,l1,b4,162,6,D,1,7279,ungrammatical,subject,mismatch,-1.01572302445664,1
4,173,l1,b4,164,46,C,1,4189,ungrammatical,subject,match,-1.01572302445664,1
4,175,l1,b4,166,31,A,7,6616,grammatical,subject,match,0.974264941825758,1
4,176,l1,b4,167,67,H,1,3339,ungrammatical,object,mismatch,-1.01572302445664,1
4,178,l1,b4,169,36,D,1,3709,ungrammatical,subject,mismatch,-1.01572302445664,1
4,181,l1,b4,172,88,F,7,26758,grammatical,object,mismatch,0.974264941825758,1
4,182,l1,b4,173,44,D,1,5930,ungrammatical,subject,mismatch,-1.01572302445664,1
4,184,l1,b4,175,56,H,1,7773,ungrammatical,object,mismatch,-1.01572302445664,1
4,186,l1,b4,177,53,E,7,15072,grammatical,object,match,0.974264941825758,1
4,188,l1,b4,179,25,C,1,5209,ungrammatical,subject,match,-1.01572302445664,1
4,190,l1,b4,181,70,F,7,5390,grammatical,object,mismatch,0.974264941825758,1
4,192,l1,b4,183,86,G,7,5315,ungrammatical,object,match,0.974264941825758,0
4,194,l1,b4,185,60,F,1,7618,grammatical,object,mismatch,-1.01572302445664,0
4,196,l1,b4,187,3,A,7,13187,grammatical,subject,match,0.974264941825758,1
4,199,l1,b4,190,75,E,7,7866,grammatical,object,match,0.974264941825758,1
4,200,l1,b4,191,38,B,7,6253,grammatical,subject,mismatch,0.974264941825758,1
5,11,l1,b1,2,42,A,3,4725,grammatical,subject,match,-0.142915788614817,0
5,12,l1,b1,3,81,H,1,7135,ungrammatical,object,mismatch,-0.926910971873242,1
5,14,l1,b1,5,96,G,1,3359,ungrammatical,object,match,-0.926910971873242,1
5,16,l1,b1,7,16,C,1,3640,ungrammatical,subject,match,-0.926910971873242,1
5,18,l1,b1,9,32,A,6,5062,grammatical,subject,match,1.03307698627282,1
5,20,l1,b1,11,45,D,1,2808,ungrammatical,subject,mismatch,-0.926910971873242,1
5,21,l1,b1,12,63,F,5,6290,grammatical,object,mismatch,0.641079394643608,1
5,24,l1,b1,15,55,E,7,5324,grammatical,object,match,1.42507457790203,1
5,26,l1,b1,17,11,B,3,5156,grammatical,subject,mismatch,-0.142915788614817,0
5,28,l1,b1,19,54,H,1,3121,ungrammatical,object,mismatch,-0.926910971873242,1
5,30,l1,b1,21,26,C,1,3687,ungrammatical,subject,match,-0.926910971873242,1
